id,nom,top,maitre,nat,nat1,title,sexe,mort,auction,auction1,start_year,img,total_amount,media1,surface,date,datesiecle,date20
115,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Trois hommes qui marchent I,1,1,Sotheby’s LONDON,s-l,2008,115.jpg,16616028,B,F,1948,20eme,1940
134,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Trois hommes qui marchent II,1,1,Sotheby’s LONDON,s-l,2011,134.jpg,15408050,B,F,1948,20eme,1940
169,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Caroline,1,1,Sotheby’s NEW YORK,s-ny,2008,169.jpg,13000000,A,C,1963,20eme,1960
170,GIACOMETTI Alberto,0,3,Switzerland,Suisse,La Place II,1,1,Christie's NEW YORK,c-ny,2008,170.jpg,13000000,B,F,1948,20eme,1940
219,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Trois hommes qui marchent I,1,1,Christie's NEW YORK,c-ny,2008,219.jpg,10200000,B,F,1948,20eme,1940
233,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Buste,1,1,Sotheby’s LONDON,s-l,2008,233.jpg,9847000,A,B,1947,20eme,1940
261,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Femme de Venise V,1,1,Christie's NEW YORK,c-ny,2010,261.jpg,9100000,B,G,1956,20eme,1950
267,GIACOMETTI Alberto,0,3,Switzerland,Suisse,Femme de Venise VIII,1,1,Sotheby’s NEW YORK,s-ny,2008,267.jpg,9000000,B,G,1956,20eme,1950
236,GONCHAROVA Natalia Sergeevna,0,0,Russia,Russie,Les fleurs,2,1,Christie's LONDON,c-l,2008,236.jpg,9621640,A,B,1912,20eme,1910
262,GONCHAROVA Natalia Sergeevna,0,0,Russia,Russie,Espagnole,2,1,Christie's LONDON,c-l,2010,262.jpg,9083520,A,C,1916,20eme,1910
57,GRIS Juan,0,0,Spain,Espagne,Violon et guitare,1,1,Christie's NEW YORK,c-ny,2010,57.jpg,25500000,A,B,1913,20eme,1910
97,GRIS Juan,0,0,Spain,Espagne,Livre  pipe et verres,1,1,Christie's NEW YORK,c-ny,2008,97.jpg,18500000,A,B,1915,20eme,1910
24,GUARDI Francesco,0,0,Italy,Italie,Venice  a View of the Rialto Bridge  Looking,1,1,Sotheby’s LONDON,s-l,2011,24.jpg,38256120,A,D,18th,18eme,none
268,GUSTON Philip,0,0,USA,Etats-Unis,Beggar’s Joys,1,1,Sotheby’s NEW YORK,s-ny,2008,268.jpg,9000000,A,E,1954-1955,20eme,1950
186,HALS Frans I,0,0,Netherlands - Belgium,Pays-Bas - Belgique,Portrait of Willem van heythuysen  seated on a Chair and holding a hunt,1,1,Sotheby’s LONDON,s-l,2008,186.jpg,12433680,A,A,1864,19eme,none
119,HIRST Damien,0,0,Great Britain,Grande-Bretagne,The Golden Calf,1,2,Sotheby’s LONDON,s-l,2008,119.jpg,16468000,B,G,2008,21eme,2000
